Fecha,Producto,Región,Ventas
2023-01-01,A,Oeste,38
2023-01-01,E,Norte,25
2023-01-01,B,Norte,66
2023-01-01,D,Norte,35
2023-01-01,D,Sur,30
2023-01-01,E,Oeste,28
2023-01-02,E,Este,26
2023-01-02,D,Sur,64
2023-01-02,A,Norte,80
2023-01-02,D,Norte,18
2023-01-02,E,Centro,25
2023-01-02,E,Sur,53
2023-01-03,A,Norte,45
2023-01-03,D,Norte,23
2023-01-03,E,Oeste,28
2023-01-03,B,Norte,75
2023-01-03,A,Oeste,86
2023-01-03,D,Oeste,73
2023-01-03,D,Oeste,57
2023-01-04,B,Oeste,31
2023-01-04,D,Norte,73
2023-01-04,E,Este,10
2023-01-04,E,Este,10
2023-01-04,B,Este,71
2023-01-04,B,Norte,63
2023-01-04,D,Sur,43
2023-01-04,E,Norte,51
2023-01-05,E,Centro,37
2023-01-05,C,Norte,23
2023-01-05,C,Centro,11
2023-01-05,A,Oeste,47
2023-01-05,E,Sur,20
2023-01-06,C,Oeste,73
2023-01-06,C,Sur,21
2023-01-06,A,Este,29
2023-01-06,E,Este,21
2023-01-06,C,Sur,12
2023-01-06,D,Este,10
2023-01-06,A,Norte,94
2023-01-06,D,Este,26
2023-01-06,D,Sur,37
2023-01-07,D,Centro,29
2023-01-07,B,Oeste,64
2023-01-07,E,Sur,56
2023-01-07,E,Norte,25
2023-01-07,D,Este,56
2023-01-07,B,Oeste,64
2023-01-07,C,Oeste,28
2023-01-07,E,Norte,19
2023-01-08,E,Este,23
2023-01-08,B,Este,30
2023-01-08,D,Centro,67
2023-01-08,A,Sur,36
2023-01-08,B,Oeste,27
2023-01-09,C,Centro,51
2023-01-09,D,Oeste,38
2023-01-09,C,Sur,12
2023-01-09,C,Este,43
2023-01-09,B,Este,68
2023-01-09,C,Centro,17
2023-01-09,E,Sur,53
2023-01-09,C,Este,47
2023-01-10,D,Este,45
2023-01-10,C,Centro,10
2023-01-10,D,Este,28
2023-01-10,E,Este,56
2023-01-10,B,Este,81
2023-01-10,C,Este,47
2023-01-10,A,Este,32
2023-01-10,B,Norte,97
2023-01-11,B,Norte,68
2023-01-11,E,Este,42
2023-01-11,D,Norte,75
2023-01-11,A,Norte,50
2023-01-11,C,Centro,45
2023-01-11,E,Sur,10
2023-01-12,E,Centro,22
2023-01-12,C,Sur,30
2023-01-12,D,Oeste,63
2023-01-12,C,Sur,54
2023-01-12,B,Este,71
2023-01-12,A,Sur,59
2023-01-13,E,Norte,52
2023-01-13,C,Oeste,10
2023-01-13,A,Este,70
2023-01-13,E,Este,58
2023-01-13,B,Centro,40
2023-01-13,A,Sur,32
2023-01-14,D,Oeste,47
2023-01-14,B,Centro,56
2023-01-14,D,Este,42
2023-01-14,A,Sur,66
2023-01-14,C,Oeste,16
2023-01-14,C,Sur,48
2023-01-14,E,Este,10
2023-01-15,B,Oeste,72
2023-01-15,E,Sur,23
2023-01-15,A,Este,49
2023-01-15,E,Norte,58
2023-01-15,E,Oeste,13
2023-01-15,B,Este,55
2023-01-16,B,Este,94
2023-01-16,B,Sur,30
2023-01-16,B,Sur,47
2023-01-16,E,Centro,23
